,AAPL_pred
2022-08-11,5.114758013971567
2022-08-12,5.13595738509635
2022-08-15,5.142270778989673
2022-08-16,5.141346462505373
2022-08-17,5.150092545016927
2022-08-18,5.147798453108659
2022-08-19,5.1325814725817684
2022-08-22,5.109282499412186
2022-08-23,5.107251697537758
2022-08-24,5.109044028680434
2022-08-25,5.123856435488179
2022-08-26,5.085428180336033
2022-08-29,5.071643286810058
2022-08-30,5.056219563774403
2022-08-31,5.045527731770973
2022-09-01,5.050223422247635
2022-09-02,5.036518920978744
2022-09-06,5.028269822022256
2022-09-07,5.037481070799275
2022-09-08,5.027816659118936
2022-09-09,5.046481158661454
2022-09-12,5.084266169977645
2022-09-13,5.023794586078743
2022-09-14,5.03330455535569
2022-09-15,5.014193308249862
2022-09-16,5.0031725191745835
2022-09-19,5.027946040928033
2022-09-20,5.043490087716865
2022-09-21,5.023014209427579
2022-09-22,5.016618740985126
2022-09-23,5.001379127366092
2022-09-26,5.003636986010519
2022-09-27,5.010181700027081
2022-09-28,4.997449478558784
2022-09-29,4.947083048581723
2022-09-30,4.916583253980032
